ensembl_gene_id,gene_symbol,SRR35143100,SRR35143101,SRR35143102,SRR35143106,SRR35143107,SRR35143108,SRR19070038,SRR19070039,SRR19070040,SRR19070035,SRR19070036,SRR19070037
ENSMUSG00000001127,Araf,593.278,554.445,473.643,555.9920000000001,484.53000000000003,620.835,893.9029999999999,1190.446,997.7609999999999,885.8430000000001,765.06,960.2180000000001
ENSMUSG00000001128,Cfp,5,3,0,1,3.262,3.001,9.122,5.204,6.353,3.924,10.581,12.629
ENSMUSG00000001134,Uxt,11.839,23.53,16.578,28.621000000000002,15.260000000000002,25.634,38.009,10.764,31.844,19.148000000000003,13.458,25.801000000000002
ENSMUSG00000001138,Cnnm3,9.747,5.591,7.195,9.088,5.277,19.832,25.703,38.759,36.969,13.908000000000001,26.162,17.705
ENSMUSG00000001143,Lman2l,52.263000000000005,76.849,72.602,78.74,58.153,108.07099999999998,72.23400000000001,75.77000000000001,103.351,168.46699999999998,60.47800000000001,93.079
ENSMUSG00000001150,Mcm3ap,10.94,9.76,6.232,15.532999999999998,16.08,18.079,9.238,13.491,21.18,33.756,21.137,17.067
ENSMUSG00000001151,Pcnt,77.348,140.631,114.84199999999998,156.47000000000003,191.335,159.60700000000003,165.423,179.64300000000003,75.77799999999999,209.72100000000003,38.682,219.864
ENSMUSG00000001155,Ftcd,0,0,0,0,0,0,0,0,0,0,5,0
ENSMUSG00000001156,Mxd1,5.204,6,3.137,2.012,1.003,11.042,1.003,6.094,6.072,25,7.036,4.111
ENSMUSG00000001157,Gmcl1,49,30.785,31.005,35.001,31,68.985,64.02600000000001,75.039,90.001,164.477,63.043,70.256
ENSMUSG00000001158,Snrnp27,8.298,17.765,13.497,8.469000000000001,5.311,9.322,17.628,16.052,20.177,4.321,11.189,9.17
ENSMUSG00000001166,Oas1c,60,37,30,24,37,38,50,64,56,43,39,52
ENSMUSG00000001168,Oas1h,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000001173,Ocrl,11.081,5.503,5.011,13.863000000000001,20.681,10.33,30.167,26.052,20.104,89.21900000000001,16.907,31.667
ENSMUSG00000001175,Calm1,47393.899999999994,49823.62499999999,45487.298,44238.544,47290.721,47976.244,34830.302,42325.656,38557.352999999996,73504.502,30904.665,37697.56100000001
ENSMUSG00000001211,Agpat3,80.494,90.251,77.58000000000001,73.29499999999999,91.09,85.351,87.07300000000001,89.459,112.90099999999998,31.377,67.755,76.97
ENSMUSG00000001225,Slc26a3,27,25,15,36,33,47,7,13,28,39,14,21
